Rank,Author Name,Newsletter Name,Substack URL,Focus / Angle,Free?
1,Mikhail Shcheglov,Corporate Waters,https://corpwaters.substack.com,Claude Code + Cursor workflow for building startups with AI — practical setup to deployment,Yes
2,Aakash Gupta,Product Growth,https://www.news.aakashg.com,Claude Code for PMs — vibe PMing / AI prototyping — PM-lens on vibe coding,Yes
3,Nate,Nate's Newsletter,https://natesnewsletter.substack.com,Claude Code complete guides for non-developers — vibe-coding tricks + 10x productivity workflows,Yes
4,Oren,AI Maker,https://aimaker.substack.com,Claude Code as writing & research agent OS — custom commands + content workflows,Yes
5,Ruben Hassid,How to AI,https://ruben.substack.com,Claude for knowledge workers — 290k+ readers — practical no-code AI usage twice a week,Yes
6,Daniel Williams,Claude Code for Non-Coders,https://claudecodefornoncoders.substack.com,Claude Code purely for non-coders — task automation — zero programming required,Yes
7,Christopher Penn,Almost Timely News,https://almosttimely.substack.com,Vibe / agentic coding pragmatics — full stack from user stories to deployment,Yes
8,Abel A. Seyoum,Vibing with AI,https://vibingwithai.substack.com,Full vibe coding landscape — Claude Code CLI + non-technical builder focus,Yes
9,John Ellison,John Ellison's Substack,https://iamjohnellison.substack.com,Builders turning vibe coding into serious revenue — solo founder stories,Yes
10,Department of Product,Department of Product,https://departmentofproduct.substack.com,PM-focused — Claude Skills for vibe coders — product strategy + AI design,Yes
BONUS,Multiple authors,Aible W My Mind,https://aiblewmymind.substack.com,Claude Skills deep dives — 23+ creators sharing reusable AI expertise for newsletters & client work,Yes
