Rank,Channel Name,Handle,URL,Feed URL,Focus / Angle,Tier
1,Riley Brown,@rileybrownai,https://www.youtube.com/@rileybrownai,https://www.youtube.com/feeds/videos.xml?channel_id=UCMcoud_ZW7cfxeIugBflSBw,Claude Code full builds — every feature explained — 150k subs — #1 AI educator,claude-code
2,IndyDevDan,@indydevdan,https://www.youtube.com/@indydevdan,https://www.youtube.com/feeds/videos.xml?channel_id=UC_x36zCEGilGpB1m-V4gmjg,Claude Code Skills — MCP servers — agentic workflows — meta-skills,claude-code
3,Cole Medin,@ColeMedin,https://www.youtube.com/@ColeMedin,https://www.youtube.com/feeds/videos.xml?channel_id=UCMwVTLZIRRUyyVrkjDpn4pA,Claude Code agents — MCP — n8n — context engineering,claude-code
4,Nate Herk,@nateherk,https://www.youtube.com/@nateherk,https://www.youtube.com/feeds/videos.xml?channel_id=UC2ojq-nuP8ceeHqiroeKhBA,Claude Code upgrades — Memory 2.0 — n8n automation,claude-code
5,Nick Saraev,@NickSaraev,https://www.youtube.com/@NickSaraev,https://www.youtube.com/feeds/videos.xml?channel_id=UCbo-KbSjJDG6JWQ_MTZ_rNA,Claude Code masterclass — Autoresearch — Channels — automation,claude-code
6,Edmund Yong,@EdmundYong,https://www.youtube.com/@EdmundYong,https://www.youtube.com/feeds/videos.xml?channel_id=UCuKVsDS3oVzTuNjnQ79pEEg,800+ hours Claude Code — solo profitable app builds,claude-code
7,Brock Mesarich,@BrockMesarich,https://www.youtube.com/@BrockMesarich,https://www.youtube.com/feeds/videos.xml?channel_id=UCjc1vfduI7BhVMXBLJLDjmA,Claude Cowork — Skills — AI for non-techies,claude-code
8,Programming with Mosh,@programmingwithmosh,https://www.youtube.com/@programmingwithmosh,https://www.youtube.com/feeds/videos.xml?channel_id=UCWv7vMbMWH4-V0ZXdmDpPBA,Claude Code course — beginner-friendly tutorials,claude-code
9,ByteGrad,@ByteGrad,https://www.youtube.com/@ByteGrad,https://www.youtube.com/feeds/videos.xml?channel_id=UCf6AGqO98eGk11nfazociVQ,Claude Code MCP servers — Next.js AI apps — shadcn,claude-code
10,AICodeKing,@AICodeKing,https://www.youtube.com/@AICodeKing,https://www.youtube.com/feeds/videos.xml?channel_id=UC0m81bQuthaQZmFbXEY9QSw,Covers every Claude Code release — vibe coding — plugins,claude-code
11,Sabrina Ramonov,@SabrinaRamonov,https://www.youtube.com/@SabrinaRamonov,https://www.youtube.com/feeds/videos.xml?channel_id=UC0Tn27aoee0n1QSmQHIvDmA,AI agent builds — Claude Code workflows — Forbes 30U30,claude-code
12,Skill With Will,@SkillWithWill,https://www.youtube.com/@SkillWithWill,https://www.youtube.com/feeds/videos.xml?channel_id=UCq57vc6Kt3R6f_TiEYXB4Jw,Claude Code + AI tool stacks explained,claude-code
13,Nate B Jones,@NateBJones,https://www.youtube.com/@NateBJones,https://www.youtube.com/feeds/videos.xml?channel_id=UC0C-17n9iuUQPylguM1d-lQ,AI News and Strategy Daily,claude-code
14,Learn Linux TV,@learnlinuxtv,https://www.youtube.com/@learnlinuxtv,https://www.youtube.com/feeds/videos.xml?channel_id=UCxQKHvKbmSzGMvUrVtJYnUA,Linux + Claude Code sysadmin tutorials,claude-code
15,All About AI,@AllAboutAI,https://www.youtube.com/@AllAboutAI,https://www.youtube.com/feeds/videos.xml?channel_id=UCR9j1jqqB5Rse69wjUnbYwA,Claude — GPT — Cursor deep dives — security testing,ai-tools
16,AI Jason,@AIJasonZ,https://www.youtube.com/@AIJasonZ,https://www.youtube.com/feeds/videos.xml?channel_id=UCrXSVX9a1mj8l0CMLwKgMVw,AI agents — Gemini — tool calling tutorials,ai-tools
17,Liam Ottley,@LiamOttley,https://www.youtube.com/@LiamOttley,https://www.youtube.com/feeds/videos.xml?channel_id=UCui4jxDaMb53Gdh-AZUTPAg,AI automation agency — Claude Code OS setups,ai-tools
18,Dave Ebbelaar,@DaveEbbelaar,https://www.youtube.com/@DaveEbbelaar,https://www.youtube.com/feeds/videos.xml?channel_id=UCn8ujwUInbJkBhffxqAPBVQ,AI engineering — Python agents — RAG — production AI,ai-tools
19,1littlecoder,@1littlecoder,https://www.youtube.com/@1littlecoder,https://www.youtube.com/feeds/videos.xml?channel_id=UCpV_X0VrL8-jg3t6wYGS-1g,AI tool tutorials — high signal — practical,ai-tools
